Иванов,Иван,Иванович
Петров,Петр,Петрович
Субботин,Аввакуум,Германнович
Денисов,Феликс,Фролович
Капустин,Фрол,Владленович
Лапин,Мстислав,Мэлорович
Николаев,Нинель,Ефимович
Морозов,Олег,Анатольевич
Филатов,Аскольд,Вячеславович
Ершов,Ростислав,Вадимович
Щукин,Святослав,Авксентьевич
Копылов,Валентин,Ильяович
Панфилов,Назарий,Федосеевич
Пахомов,Савелий,Глебович
Бирюков,Лавр,Германович
Горбачёв,Роберт,Лаврентьевич
Воробьёв,Эдуард,Альвианович
Шестаков,Венедикт,Ефимович
Карпов,Прохор,Васильевич
Исаев,Артем,Петрович
Петров,Ян,Германович
Панов,Власий,Кимович
Николаева,Ванда,Мэлсовна
Веселова,Альбина,Ефимовна
Кузьмина,Мальта,Улебовна
Некрасова,Светлана,Николаевна
Фролова,Янита,Якововна
Фомина,Доминика,Юлиановна
Кабанова,Гертруда,Руслановна
Фёдорова,Жюли,Олеговна
Шестакова,Ася,Максовна
Нестерова,Зарина,Сергеевна
Нестерова,Варвара,Тихоновна
Ильина,Анна,Глебовна
Кудряшова,Биргит,Федоровна
Тихонова,Ольга,Аристарховна
Лазарева,Эльга,Прокловна
Игнатьева,Антонина,Александровна
Дорофеева,Алёна,Филатовна
Панфилова,Мартина,Всеволодовна
Юдина,Инара,Лукьяновна
Носкова,Екатерина,Фроловна
